[2.83298e+00],[4.46807e-01],[-1.93466e-02]
[2.82981e+00],[4.45462e-01],[-1.91205e-02]
[2.82670e+00],[4.44144e-01],[-1.89160e-02]
[2.82365e+00],[4.42847e-01],[-1.87312e-02]
[2.82067e+00],[4.41574e-01],[-1.85599e-02]
[2.81774e+00],[4.40329e-01],[-1.83997e-02]
[2.81487e+00],[4.39118e-01],[-1.82484e-02]
[2.81205e+00],[4.37945e-01],[-1.81060e-02]
[2.80929e+00],[4.36812e-01],[-1.79742e-02]
[2.80659e+00],[4.35715e-01],[-1.78549e-02]
[2.80394e+00],[4.34652e-01],[-1.77482e-02]
[2.80135e+00],[4.33624e-01],[-1.76514e-02]
[2.79881e+00],[4.32632e-01],[-1.75610e-02]
[2.79633e+00],[4.31673e-01],[-1.74771e-02]
[2.79390e+00],[4.30740e-01],[-1.73978e-02]
[2.79152e+00],[4.29832e-01],[-1.73224e-02]
[2.78919e+00],[4.28949e-01],[-1.72538e-02]
[2.78690e+00],[4.28089e-01],[-1.71911e-02]
[2.78465e+00],[4.27252e-01],[-1.71320e-02]
[2.78244e+00],[4.26437e-01],[-1.70777e-02]
[2.78025e+00],[4.25645e-01],[-1.70285e-02]
[2.77809e+00],[4.24874e-01],[-1.69829e-02]
[2.77596e+00],[4.24127e-01],[-1.69391e-02]
[2.77386e+00],[4.23408e-01],[-1.69006e-02]
[2.77179e+00],[4.22718e-01],[-1.68703e-02]
[2.76975e+00],[4.22055e-01],[-1.68484e-02]
[2.76775e+00],[4.21416e-01],[-1.68363e-02]
[2.76579e+00],[4.20798e-01],[-1.68334e-02]
[2.76386e+00],[4.20193e-01],[-1.68372e-02]
[2.76195e+00],[4.19595e-01],[-1.68431e-02]
[2.76006e+00],[4.18997e-01],[-1.68512e-02]
[2.75819e+00],[4.18396e-01],[-1.68601e-02]
[2.75634e+00],[4.17786e-01],[-1.68658e-02]
[2.75449e+00],[4.17161e-01],[-1.68679e-02]
[2.75265e+00],[4.16517e-01],[-1.68668e-02]
[2.75080e+00],[4.15857e-01],[-1.68635e-02]
[2.74894e+00],[4.15185e-01],[-1.68606e-02]
[2.75086e+00],[4.15876e-01],[-1.68630e-02]
[2.75283e+00],[4.16598e-01],[-1.68641e-02]
[2.75488e+00],[4.17356e-01],[-1.68628e-02]
[2.75700e+00],[4.18155e-01],[-1.68583e-02]
